World Rank,University Name,Country,National Rank,Total Score
1,Harvard University,us.png,1,100.0
2,Stanford University,us.png,2,74.8
3,Massachusetts Institute of Technology (MIT),us.png,3,69.1
4,University of Cambridge,gb.png,1,67.9
5,"University of California, Berkeley",us.png,4,63.4
6,Princeton University,us.png,5,60.1
7,University of Oxford,gb.png,2,59.5
8,Columbia University,us.png,6,55.3
9,California Institute of Technology,us.png,7,54.5
10,University of Chicago,us.png,8,53.8
11,Yale University,us.png,9,52.2
12,Cornell University,us.png,10,50.5
13,"University of California, Los Angeles",us.png,11,48.0
14,University of Pennsylvania,us.png,12,47.7
15,Paris-Saclay University,fr.png,1,47.0
16,Johns Hopkins University,us.png,13,46.8
17,University College London,gb.png,3,45.9
18,University of Washington,us.png,14,45.4
19,"University of California, San Diego",us.png,15,44.8
20,ETH Zurich,ch.png,1,44.1
21,"University of California, San Francisco",us.png,16,44.0
22,Tsinghua University,cn.png,1,40.3
23,Imperial College London,gb.png,4,39.9
24,University of Toronto,ca.png,1,39.7
25,Washington University in St. Louis,us.png,17,39.0
26,University of Michigan-Ann Arbor,us.png,18,37.8
27,The University of Tokyo,jp.png,1,37.7
28,New York University,us.png,19,37.3
29,Peking University,cn.png,2,36.7
30,Northwestern University,us.png,20,35.8
31,University of North Carolina at Chapel Hill,us.png,21,35.7
32,University of Copenhagen,dk.png,1,35.2
33,Zhejiang University,cn.png,3,35.0
34,Duke University,us.png,22,34.6
35,The University of Melbourne,au.png,1,34.5
35,University of Wisconsin - Madison,us.png,23,34.5
37,Karolinska Institute,se.png,1,34.0
38,The University of Edinburgh,gb.png,5,33.9
39,Kyoto University,jp.png,2,33.3
39,Rockefeller University,us.png,24,33.3
41,PSL University,fr.png,2,33.0
41,The University of Manchester,gb.png,6,33.0
43,The University of Texas at Austin,us.png,25,32.8
44,University of British Columbia,ca.png,2,32.7
44,"University of Minnesota, Twin Cities",us.png,26,32.7
46,Shanghai Jiao Tong University,cn.png,4,32.6
46,Sorbonne University,fr.png,3,32.6
48,The University of Texas Southwestern Medical Center at Dallas,us.png,27,32.4
49,University of Geneva,ch.png,2,31.8
50,"University of Maryland, College Park",us.png,28,31.7
51,The University of Queensland,au.png,2,31.5
52,University of Illinois Urbana-Champaign,us.png,29,31.4
52,Utrecht University,nl.png,1,31.4
54,Swiss Federal Institute of Technology Lausanne,ch.png,3,31.3
55,Heidelberg University,de.png,1,31.2
56,Fudan University,cn.png,5,31.1
57,University of Colorado at Boulder,us.png,30,31.0
58,University of Southern California,us.png,31,30.8
59,King's College London,gb.png,7,30.7
59,Technical University of Munich,de.png,2,30.7
59,University of Munich,de.png,2,30.7
59,University of Zurich,ch.png,4,30.7
63,"University of California, Santa Barbara",us.png,32,30.2
64,University of Science and Technology of China,cn.png,6,30.1
65,"University of California, Irvine",us.png,33,29.8
66,Vanderbilt University,us.png,34,29.4
67,University of Bonn,de.png,4,29.3
68,Weizmann Institute of Science,il.png,1,29.2
69,Université Paris Cité,fr.png,4,29.1
70,McGill University,ca.png,3,28.9
71,National University of Singapore,sg.png,1,28.8
72,The University of New South Wales,au.png,3,28.6
73,Sun Yat-sen University,cn.png,7,28.3
73,University of Oslo,no.png,1,28.3
73,University of Sydney,au.png,4,28.3
76,University of Groningen,nl.png,2,28.1
77,Monash University,au.png,5,28.0
78,Aarhus University,dk.png,2,27.6
79,Technion-Israel Institute of Technology,il.png,2,27.4
80,The University of Texas M. D. Anderson Cancer Center,us.png,35,26.9
81,University of Basel,ch.png,5,26.8
82,Uppsala University,se.png,2,26.6
83,University of Pittsburgh,us.png,36,26.5
84,Ghent University,be.png,1,26.4
84,The Australian National University,au.png,6,26.4
86,KU Leuven,be.png,2,26.2
86,The Hebrew University of Jerusalem,il.png,3,26.2
88,Erasmus University Rotterdam,nl.png,3,26.1
88,The University of Hong Kong,hk.png,1,26.1
88,University of Bristol,gb.png,8,26.1
91,Huazhong University of Science and Technology,cn.png,8,26.0
91,University of Alberta,ca.png,4,26.0
93,Nanyang Technological University,sg.png,2,25.9
94,Seoul National University,kr.png,1,25.8
95,Central South University,cn.png,9,25.3
96,Nanjing University,cn.png,10,25.2
96,Purdue University - West Lafayette,us.png,37,25.2
98,Brown University,us.png,38,25.1
98,McMaster University,ca.png,5,25.1
98,Stockholm University,se.png,3,25.1
101-150,Arizona State University,us.png,39-51,
101-150,Beijing Institute of Technology,cn.png,11-23,
101-150,Boston University,us.png,39-51,
101-150,Carnegie Mellon University,us.png,39-51,
101-150,City University of Hong Kong,hk.png,2-3,
101-150,Emory University,us.png,39-51,
101-150,Harbin Institute of Technology,cn.png,11-23,
101-150,Jilin University,cn.png,11-23,
101-150,King Saud University,sa.png,1,
101-150,Leiden University,nl.png,4-6,
101-150,Mayo Clinic Alix School of Medicine,us.png,39-51,
101-150,Moscow State University,ru.png,1,
101-150,Icahn School of Medicine at Mount Sinai,us.png,39-51,
101-150,Nagoya University,jp.png,3,
101-150,Norwegian University of Science and Technology - NTNU,no.png,2,
101-150,Radboud University Nijmegen,nl.png,4-6,
101-150,Rice University,us.png,39-51,
101-150,"Rutgers, The State University of New Jersey - New Brunswick",us.png,39-51,
101-150,Sapienza University of Rome,it.png,1,
101-150,Shandong University,cn.png,11-23,
101-150,Sichuan University,cn.png,11-23,
101-150,Soochow University (China),cn.png,11-23,
101-150,South China University of Technology,cn.png,11-23,
101-150,Southern University of Science and Technology,cn.png,11-23,
101-150,Southeast University,cn.png,11-23,
101-150,The Chinese University of Hong Kong,hk.png,2-3,
101-150,The Ohio State University - Columbus,us.png,39-51,
101-150,Pennsylvania State University - University Park,us.png,39-51,
101-150,The University of Glasgow,gb.png,9-12,
101-150,The University of Western Australia,au.png,7,
101-150,Tianjin University,cn.png,11-23,
101-150,University of Electronic Science and Technology of China,cn.png,11-23,
101-150,Université Grenoble Alpes,fr.png,5,
101-150,Université libre de Bruxelles (ULB),be.png,3,
101-150,University of Amsterdam,nl.png,4-6,
101-150,University of Bern,ch.png,6-7,
101-150,"University of California, Davis",us.png,39-51,
101-150,University of Florida,us.png,39-51,
101-150,University of Freiburg,de.png,5,
101-150,University of Gothenburg,se.png,4,
101-150,University of Helsinki,fi.png,1,
101-150,University of Lausanne,ch.png,6-7,
101-150,University of Liverpool,gb.png,9-12,
101-150,University of Nottingham,gb.png,9-12,
101-150,University of Sao Paulo,br.png,1,
101-150,University of Utah,us.png,39-51,
101-150,University of Vienna,at.png,1,
101-150,University of Warwick,gb.png,9-12,
101-150,Wuhan University,cn.png,11-23,
101-150,Xi'an Jiaotong University,cn.png,11-23,
151-200,Aix Marseille University,fr.png,6-8,
151-200,Baylor College of Medicine,us.png,52-61,
151-200,Beihang University,cn.png,24-32,
151-200,Beijing Normal University,cn.png,24-32,
151-200,Cardiff University,gb.png,13-20,
151-200,Case Western Reserve University,us.png,52-61,
151-200,Delft University of Technology,nl.png,7-9,
151-200,Georgia Institute of Technology,us.png,52-61,
151-200,Goethe University Frankfurt,de.png,6-9,
151-200,Hunan University,cn.png,24-32,
151-200,Indiana University Bloomington,us.png,52-61,
151-200,King Abdulaziz University,sa.png,2,
151-200,London School of Economics and Political Science,gb.png,13-20,
151-200,London School of Hygiene & Tropical Medicine,gb.png,13-20,
151-200,Lund University,se.png,5,
151-200,Michigan State University,us.png,52-61,
151-200,Nankai University,cn.png,24-32,
151-200,Northwestern Polytechnical University,cn.png,24-32,
151-200,Osaka University,jp.png,4-5,
151-200,Shenzhen University,cn.png,24-32,
151-200,Sungkyunkwan University,kr.png,2,
151-200,Technical University of Denmark,dk.png,3,
151-200,Texas A&M University,us.png,52-61,
151-200,The Hong Kong Polytechnic University,hk.png,4,
151-200,The University of Adelaide,au.png,8,
151-200,The University of Sheffield,gb.png,13-20,
151-200,Tokyo Institute of Technology,jp.png,4-5,
151-200,Tongji University,cn.png,24-32,
151-200,Tufts University,us.png,52-61,
151-200,University of Arizona,us.png,52-61,
151-200,University of Birmingham,gb.png,13-20,
151-200,"University of California, Santa Cruz",us.png,52-61,
151-200,University of Cologne,de.png,6-9,
151-200,University of Exeter,gb.png,13-20,
151-200,University of Goettingen,de.png,6-9,
151-200,University of Leeds,gb.png,13-20,
151-200,University of Massachusetts Amherst,us.png,52-61,
151-200,University of Milan,it.png,2-4,
151-200,University of Montpellier,fr.png,6-8,
151-200,Université de Montréal,ca.png,6-7,
151-200,University of Padua,it.png,2-4,
151-200,University of Pisa,it.png,2-4,
151-200,University of Southampton,gb.png,13-20,
151-200,University of Strasbourg,fr.png,6-8,
151-200,University of Tuebingen,de.png,6-9,
151-200,University of Waterloo,ca.png,6-7,
151-200,Vrije Universiteit Amsterdam,nl.png,7-9,
151-200,Wageningen University & Research,nl.png,7-9,
151-200,Xiamen University,cn.png,24-32,
151-200,Zhengzhou University,cn.png,24-32,
201-300,Beijing University of Chemical Technology,cn.png,33-50,
201-300,Capital Medical University,cn.png,33-50,
201-300,Catholic University of Louvain,be.png,4-5,
201-300,China Agricultural University,cn.png,33-50,
201-300,China Medical University (Taichung),tw.png,1-2,
201-300,China University of Geosciences (Wuhan),cn.png,33-50,
201-300,Chongqing University,cn.png,33-50,
201-300,Claude Bernard University Lyon 1,fr.png,9-12,
201-300,Curtin University,au.png,9-15,
201-300,Dalian University of Technology,cn.png,33-50,
201-300,Deakin University,au.png,9-15,
201-300,East China Normal University,cn.png,33-50,
201-300,Ecole Normale Superieure - Lyon,fr.png,9-12,
201-300,Florida State University,us.png,62-82,
201-300,Fuzhou University,cn.png,33-50,
201-300,George Mason University,us.png,62-82,
201-300,Hanyang University,kr.png,3-7,
201-300,Hokkaido University,jp.png,6-8,
201-300,Jiangsu University,cn.png,33-50,
201-300,Jinan University,cn.png,33-50,
201-300,King Abdullah University of Science and Technology,sa.png,3-4,
201-300,Korea Advanced Institute of Science and Technology,kr.png,3-7,
201-300,Korea University,kr.png,3-7,
201-300,KTH Royal Institute of Technology,se.png,6,
201-300,Lanzhou University,cn.png,33-50,
201-300,Maastricht University,nl.png,10,
201-300,Macquarie University,au.png,9-15,
201-300,Medical University of Vienna,at.png,2,
201-300,Nanjing Medical University,cn.png,33-50,
201-300,NanJing Tech University,cn.png,33-50,
201-300,National Taiwan University,tw.png,1-2,
201-300,Newcastle University,gb.png,21-25,
201-300,North Carolina State University - Raleigh,us.png,62-82,
201-300,Northeastern University (Boston),us.png,62-82,
201-300,Oregon Health and Science University,us.png,62-82,
201-300,Oregon State University,us.png,62-82,
201-300,Peking Union Medical College,cn.png,33-50,
201-300,Polytechnic University of Milan,it.png,5-8,
201-300,Qingdao University,cn.png,33-50,
201-300,Queen Mary University of London,gb.png,21-25,
201-300,Queen's University,ca.png,8-11,
201-300,RWTH Aachen University,de.png,10-19,
201-300,Shanghai University,cn.png,33-50,
201-300,Swinburne University of Technology,au.png,9-15,
201-300,Taif University,sa.png,3-4,
201-300,Technical University of Berlin,de.png,10-19,
201-300,Tel Aviv University,il.png,4,
201-300,The George Washington University,us.png,62-82,
201-300,The University of Auckland,nz.png,1,
201-300,The University of Calgary,ca.png,8-11,
201-300,Tohoku University,jp.png,6-8,
201-300,Trinity College Dublin,ie.png,1,
201-300,TU Dresden,de.png,10-19,
201-300,Ulsan National Institute of Science and Technology,kr.png,3-7,
201-300,University of Massachusetts Medical School - Worcester,us.png,62-82,
201-300,National Autonomous University of Mexico,mx.png,1,
201-300,University of Science and Technology Beijing,cn.png,33-50,
201-300,The University of Texas Health Science Center at Houston,us.png,62-82,
201-300,University of Aberdeen,gb.png,21-25,
201-300,University of Antwerp,be.png,4-5,
201-300,University of Barcelona,es.png,1-2,
201-300,University of Bologna,it.png,5-8,
201-300,University of Bordeaux,fr.png,9-12,
201-300,University of Buenos Aires,ar.png,1,
201-300,"University of California, Riverside",us.png,62-82,
201-300,University of Cape Town,za.png,1,
201-300,University of Cincinnati,us.png,62-82,
201-300,University of Colorado at Denver,us.png,62-82,
201-300,University of Delaware,us.png,62-82,
201-300,University of East Anglia,gb.png,21-25,
201-300,University of Erlangen-Nuremberg,de.png,10-19,
201-300,University of Granada,es.png,1-2,
201-300,University of Hamburg,de.png,10-19,
201-300,University of Iowa,us.png,62-82,
201-300,University of Kiel,de.png,10-19,
201-300,University of Leipzig,de.png,10-19,
201-300,University of Lisbon,pt.png,1-2,
201-300,University of Lorraine,fr.png,9-12,
201-300,University of Mainz,de.png,10-19,
201-300,University of Manitoba,ca.png,8-11,
201-300,University of Missouri - Columbia,us.png,62-82,
201-300,University of Muenster,de.png,10-19,
201-300,University of Naples Federico II,it.png,5-8,
201-300,University of Nebraska - Lincoln,us.png,62-82,
201-300,University of Ottawa,ca.png,8-11,
201-300,University of Porto,pt.png,1-2,
201-300,University of Rochester,us.png,62-82,
201-300,University of Sussex,gb.png,21-25,
201-300,University of Tasmania,au.png,9-15,
201-300,University of Technology Sydney,au.png,9-15,
201-300,University of Tennessee - Knoxville,us.png,62-82,
201-300,University of Tsukuba,jp.png,6-8,
201-300,University of Turin,it.png,5-8,
201-300,University of Virginia,us.png,62-82,
201-300,University of Wollongong,au.png,9-15,
201-300,University of Wuerzburg,de.png,10-19,
201-300,Virginia Commonwealth University,us.png,62-82,
201-300,Virginia Polytechnic Institute and State University,us.png,62-82,
201-300,Wuhan University of Technology,cn.png,33-50,
201-300,Yonsei University,kr.png,3-7,
301-400,Aalborg University,dk.png,4-5,
301-400,Aalto University,fi.png,2-3,
301-400,Autonomous University of Barcelona,es.png,3-7,
301-400,Autonomous University of Madrid,es.png,3-7,
301-400,Beijing University of Technology,cn.png,51-68,
301-400,Brandeis University,us.png,83-99,
301-400,Cairo University,eg.png,1,
301-400,Charles University in Prague,cz.png,1,
301-400,China University of Geosciences (Beijing),cn.png,51-68,
301-400,Colorado State University,us.png,83-99,
301-400,Complutense University of Madrid,es.png,3-7,
301-400,Dalhousie University,ca.png,12-17,
301-400,Dartmouth College,us.png,83-99,
301-400,Durham University,gb.png,26-33,
301-400,East China University of Science and Technology,cn.png,51-68,
301-400,Flinders University,au.png,16-22,
301-400,Griffith University,au.png,16-22,
301-400,Guangdong University of Technology,cn.png,51-68,
301-400,Guangxi University,cn.png,51-68,
301-400,Heinrich Heine University Duesseldorf,de.png,20-24,
301-400,The Hong Kong University of Science and Technology,hk.png,5,
301-400,Huazhong Agricultural University,cn.png,51-68,
301-400,Indian Institute of Science,in.png,1,
301-400,Indiana University-Purdue University at Indianapolis,us.png,83-99,
301-400,Institut Polytechnique de Paris,fr.png,13-16,
301-400,James Cook University,au.png,16-22,
301-400,Jiangnan University,cn.png,51-68,
301-400,Karlsruhe Institute of Technology (KIT),de.png,20-24,
301-400,Keio University,jp.png,9-11,
301-400,Kyushu University,jp.png,9-11,
301-400,La Trobe University,au.png,16-22,
301-400,Lancaster University,gb.png,26-33,
301-400,Laval University,ca.png,12-17,
301-400,Linkoping University,se.png,7-8,
301-400,Nanchang University,cn.png,51-68,
301-400,Nanjing Agricultural University,cn.png,51-68,
301-400,Nanjing University of Aeronautics and Astronautics,cn.png,51-68,
301-400,Nanjing University of Information Science & Technology,cn.png,51-68,
301-400,Nanjing University of Science and Technology,cn.png,51-68,
301-400,National Cheng Kung University (NCKU),tw.png,3,
301-400,Northeastern University (Shenyang),cn.png,51-68,
301-400,Northwest A&F University,cn.png,51-68,
301-400,Ocean University of China,cn.png,51-68,
301-400,Okinawa Institute of Science and Technology Graduate University,jp.png,9-11,
301-400,Paul Sabatier University (Toulouse 3),fr.png,13-16,
301-400,Pohang University of Science and Technology,kr.png,8,
301-400,Pompeu Fabra University,es.png,3-7,
301-400,Princess Nourah bint Abdulrahman University,sa.png,5,
301-400,Queen's University Belfast,gb.png,26-33,
301-400,Queensland University of Technology,au.png,16-22,
301-400,RMIT University,au.png,16-22,
301-400,ShanghaiTech University,cn.png,51-68,
301-400,Simon Fraser University,ca.png,12-17,
301-400,"University at Buffalo, the State University of New York",us.png,83-99,
301-400,Stony Brook University,us.png,83-99,
301-400,Swedish University of Agricultural Sciences,se.png,7-8,
301-400,The University of Georgia,us.png,83-99,
301-400,The University of Reading,gb.png,26-33,
301-400,UNESP,br.png,2,
301-400,National and Kapodistrian University of Athens,gr.png,1,
301-400,University College Cork,ie.png,2-3,
301-400,University College Dublin,ie.png,2-3,
301-400,University of Belgrade,rs.png,1,
301-400,University of Bergen,no.png,3,
301-400,University of Bochum,de.png,20-24,
301-400,University of Central Florida,us.png,83-99,
301-400,University of Connecticut,us.png,83-99,
301-400,University of Duisburg-Essen,de.png,20-24,
301-400,University of Florence,it.png,9-10,
301-400,University of Hawaii at Manoa,us.png,83-99,
301-400,University of Houston,us.png,83-99,
301-400,University of Illinois at Chicago,us.png,83-99,
301-400,University of Innsbruck,at.png,3-4,
301-400,University of Kansas,us.png,83-99,
301-400,University of Kentucky,us.png,83-99,
301-400,University of Leicester,gb.png,26-33,
301-400,University of Liege,be.png,6-7,
301-400,University of Lille,fr.png,13-16,
301-400,University of Macau,mo.png,1,
301-400,"University of Maryland, Baltimore",us.png,83-99,
301-400,University of Miami,us.png,83-99,
301-400,University of Milano-Bicocca,it.png,9-10,
301-400,University of Saskatchewan,ca.png,12-17,
301-400,University of South Florida,us.png,83-99,
301-400,University of Southern Denmark,dk.png,4-5,
301-400,University of St Andrews,gb.png,26-33,
301-400,University of Stuttgart,de.png,20-24,
301-400,University of Surrey,gb.png,26-33,
301-400,University of the Witwatersrand,za.png,2,
301-400,Toulouse 1 Capitole University,fr.png,13-16,
301-400,University of Turku,fi.png,2-3,
301-400,University of Valencia,es.png,3-7,
301-400,University of Victoria,ca.png,12-17,
301-400,University of York,gb.png,26-33,
301-400,Vienna University of Technology,at.png,3-4,
301-400,Vrije Universiteit Brussel (VUB),be.png,6-7,
301-400,Western Sydney University,au.png,16-22,
301-400,Western University,ca.png,12-17,
301-400,Yangzhou University,cn.png,51-68,
301-400,Zhejiang University of Technology,cn.png,51-68,
401-500,Albert Einstein College of Medicine,us.png,100-117,
401-500,Bar-Ilan University,il.png,5,
401-500,Chalmers University of Technology,se.png,9,
401-500,China University of Mining and Technology - Xuzhou,cn.png,69-88,
401-500,China University of Petroleum (Huadong),cn.png,69-88,
401-500,CUNY Graduate School and University Center,us.png,100-117,
401-500,Drexel University,us.png,100-117,
401-500,Eindhoven University of Technology,nl.png,11-12,
401-500,Federal University of Minas Gerais,br.png,3-5,
401-500,Georgetown University,us.png,100-117,
401-500,Guangzhou Medical University,cn.png,69-88,
401-500,Guangzhou University,cn.png,69-88,
401-500,Hainan University,cn.png,69-88,
401-500,Hannover Medical School,de.png,25-31,
401-500,Henan University,cn.png,69-88,
401-500,Hiroshima University,jp.png,12,
401-500,Hohai University,cn.png,69-88,
401-500,Humanitas University,it.png,11-17,
401-500,Iowa State University,us.png,100-117,
401-500,Istanbul University,tr.png,1,
401-500,Jagiellonian University,pl.png,1-2,
401-500,King Fahd University of Petroleum & Minerals,sa.png,6-7,
401-500,King Khalid University,sa.png,6-7,
401-500,Kunming University of Science and Technology,cn.png,69-88,
401-500,Kyung Hee University,kr.png,9-12,
401-500,Kyungpook National University,kr.png,9-12,
401-500,Louisiana State University - Baton Rouge,us.png,100-117,
401-500,Macau University of Science and Technology,mo.png,2,
401-500,Masaryk University,cz.png,2,
401-500,Murdoch University,au.png,23-24,
401-500,Nanjing Forestry University,cn.png,69-88,
401-500,Nanjing Normal University,cn.png,69-88,
401-500,National Tsing Hua University,tw.png,4-5,
401-500,National Yang Ming Chiao Tung University,tw.png,4-5,
401-500,Northern Arizona University,us.png,100-117,
401-500,Polytechnic University of Valencia,es.png,8-9,
401-500,Pusan National University,kr.png,9-12,
401-500,Renmin University of China,cn.png,69-88,
401-500,Rensselaer Polytechnic Institute,us.png,100-117,
401-500,Saint Petersburg State University,ru.png,2,
401-500,Sejong University,kr.png,9-12,
401-500,Shandong University of Science and Technology,cn.png,69-88,
401-500,University of Shanghai for Science and Technology,cn.png,69-88,
401-500,South China Agricultural University,cn.png,69-88,
401-500,South China Normal University,cn.png,69-88,
401-500,Southern Medical University,cn.png,69-88,
401-500,Southwest Jiaotong University,cn.png,69-88,
401-500,Stellenbosch University,za.png,3-4,
401-500,Swansea University,gb.png,34-38,
401-500,Technical University Darmstadt,de.png,25-31,
401-500,Temple University,us.png,100-117,
401-500,The University of Dundee,gb.png,34-38,
401-500,"The University of Newcastle, Australia",au.png,23-24,
401-500,Catholic University of the Sacred Heart,it.png,11-17,
401-500,Federal University of Rio Grande do Sul,br.png,3-5,
401-500,"University of Natural Resources and Life Sciences, Vienna",at.png,5,
401-500,University of South Carolina - Columbia,us.png,100-117,
401-500,The University of Texas Medical Branch at Galveston,us.png,100-117,
401-500,University of Alabama at Birmingham,us.png,100-117,
401-500,University of Aveiro,pt.png,3-5,
401-500,University of Bari,it.png,11-17,
401-500,University of Bath,gb.png,34-38,
401-500,University of Campinas,br.png,3-5,
401-500,University of Canterbury,nz.png,2-4,
401-500,University of Chile,cl.png,1,
401-500,University of Coimbra,pt.png,3-5,
401-500,University of Côte d'Azur,fr.png,17-18,
401-500,University of Essex,gb.png,34-38,
401-500,University of Genoa,it.png,11-17,
401-500,University of Jena,de.png,25-31,
401-500,University of Kent,gb.png,34-38,
401-500,University of Malaya,my.png,1,
401-500,University of Marburg,de.png,25-31,
401-500,University of Minho,pt.png,3-5,
401-500,University of Notre Dame,us.png,100-117,
401-500,University of Oregon,us.png,100-117,
401-500,University of Otago,nz.png,2-4,
401-500,University of Oulu,fi.png,4,
401-500,University of Pavia,it.png,11-17,
401-500,University of Potsdam,de.png,25-31,
401-500,University of Pretoria,za.png,3-4,
401-500,University of Regensburg,de.png,25-31,
401-500,University of Rennes,fr.png,17-18,
401-500,University of Tehran,ir.png,1,
401-500,University of the Basque Country,es.png,8-9,
401-500,University of Trento,it.png,11-17,
401-500,University of Twente,nl.png,11-12,
401-500,University of Ulm,de.png,25-31,
401-500,University of Vermont,us.png,100-117,
401-500,University of Warsaw,pl.png,1-2,
401-500,University of Zagreb,hr.png,1,
401-500,The University of Texas Health Science Center at San Antonio,us.png,100-117,
401-500,Utah State University,us.png,100-117,
401-500,Victoria University of Wellington,nz.png,2-4,
401-500,Vita-Salute San Raffaele University,it.png,11-17,
401-500,Washington State University,us.png,100-117,
401-500,Xidian University,cn.png,69-88,
401-500,York University,ca.png,18,
401-500,Yunnan University,cn.png,69-88,
401-500,Zhejiang Normal University,cn.png,69-88,
501-600,Anhui Medical University,cn.png,89-110,
501-600,Anhui University,cn.png,89-110,
501-600,Aristotle University of Thessaloniki,gr.png,2,
501-600,Australian Catholic University,au.png,25-26,
501-600,Beijing Jiaotong University,cn.png,89-110,
501-600,Ben-Gurion University of the Negev,il.png,6,
501-600,Binghamton University,us.png,118-144,
501-600,Boston College,us.png,118-144,
501-600,Brigham Young University,us.png,118-144,
501-600,Carleton University,ca.png,19-22,
